name,genre,released,score,star,country,budget,gross,star2,star3
The Mummy Returns,Action,"May 4, 2001 (United States)",6.4,Brendan Fraser,United States,98000000,443280904,Amy Adams,Saoirse Ronan
Pearl Harbor,Action,"May 25, 2001 (United States)",6.2,Ben Affleck,United States,140000000,449220945,Kate Winslet,Jake Gyllenhaal
The Royal Tenenbaums,Comedy,"January 4, 2002 (United States)",7.6,Gene Hackman,United States,21000000,71444482,Ryan Gosling,Idris Elba
Amélie,Comedy,"February 8, 2002 (United States)",8.3,Audrey Tautou,France,10000000,173997108,Jennifer Aniston,Chris Evans
Training Day,Crime,"October 5, 2001 (United States)",7.7,Denzel Washington,United States,45000000,104876233,Tilda Swinton,Viola Davis
A.I. Artificial Intelligence,Drama,"June 29, 2001 (United States)",7.2,Haley Joel Osment,United States,100000000,235926552,Denzel Washington,Denzel Washington
Ghost World,Comedy,"September 21, 2001 (United States)",7.3,Steve Buscemi,United States,7000000,8764007,Tom Cruise,Lupita Nyong'o
Super Troopers,Comedy,"February 15, 2002 (United States)",7.1,Jay Chandrasekhar,United States,3000000,23182223,Johnny Depp,Daniel Day-Lewis
A Knight's Tale,Action,"May 11, 2001 (United States)",6.9,Heath Ledger,United States,65000000,117487473,Johnny Depp,Samuel L. Jackson
Blow,Biography,"April 6, 2001 (United States)",7.6,Johnny Depp,United States,53000000,83282296,Emily Blunt,Amy Adams
Hannibal,Crime,"February 9, 2001 (United States)",6.8,Anthony Hopkins,United States,87000000,351692268,Matt Damon,Rachel McAdams
The Princess Diaries,Comedy,"August 3, 2001 (United States)",6.4,Julie Andrews,United States,26000000,165335153,Idris Elba,Mark Ruffalo
Moulin Rouge!,Drama,"June 1, 2001 (United States)",7.6,Nicole Kidman,Australia,50000000,184935320,Viola Davis,Emma Stone
Vanilla Sky,Fantasy,"December 14, 2001 (United States)",6.9,Tom Cruise,United States,68000000,203388341,Javier Bardem,Tilda Swinton
Thir13en Ghosts,Fantasy,"October 26, 2001 (United States)",5.6,Tony Shalhoub,United States,42000000,68467960,Javier Bardem,Sandra Bullock
Planet of the Apes,Action,"July 27, 2001 (United States)",5.7,Mark Wahlberg,United States,100000000,362211740,Michael Fassbender,Anne Hathaway
The Others,Horror,"August 10, 2001 (United States)",7.6,Nicole Kidman,Spain,17000000,209947037,Denzel Washington,Marion Cotillard
Joe Dirt,Adventure,"April 11, 2001 (United States)",6.0,David Spade,United States,17700000,30987695,Tilda Swinton,Jennifer Aniston
Atlantis: The Lost Empire,Animation,"June 15, 2001 (United States)",6.9,Michael J. Fox,United States,120000000,186053725,Hugh Jackman,Emma Stone
Rat Race,Action,"August 17, 2001 (United States)",6.4,Breckin Meyer,United States,48000000,85498534,Angelina Jolie,Cate Blanchett
Summer Catch,Comedy,"August 24, 2001 (United States)",5.1,Freddie Prinze Jr.,United States,34000000,19772447,Cate Blanchett,Samuel L. Jackson
Wet Hot American Summer,Comedy,"August 31, 2001 (Canada)",6.6,Janeane Garofalo,United States,5000000,295206,Angelina Jolie,Scarlett Johansson
Shallow Hal,Comedy,"November 9, 2001 (United States)",5.9,Jack Black,United States,40000000,141069860,Idris Elba,Emily Blunt
Zoolander,Comedy,"September 28, 2001 (United States)",6.5,Ben Stiller,Germany,28000000,60780981,Hugh Jackman,Kate Winslet
Jurassic Park III,Action,"July 18, 2001 (United States)",5.9,Sam Neill,United States,93000000,368780809,George Clooney,Emma Stone
Enemy at the Gates,Drama,"March 16, 2001 (United States)",7.6,Jude Law,Ireland,68000000,96976270,Natalie Portman,Kate Winslet
Gosford Park,Comedy,"January 18, 2002 (United States)",7.2,Maggie Smith,United States,19800000,87754044,Reese Witherspoon,Chris Evans
Swordfish,Action,"June 8, 2001 (United States)",6.5,John Travolta,United States,102000000,147080413,Jennifer Aniston,Colin Firth
Jeepers Creepers,Horror,"August 31, 2001 (United States)",6.2,Gina Philips,United States,10000000,59371303,Idris Elba,George Clooney
Hardball,Drama,"September 14, 2001 (United States)",6.4,Keanu Reeves,Germany,32000000,44102389,Meryl Streep,Joaquin Phoenix
Evolution,Comedy,"June 8, 2001 (United States)",6.1,David Duchovny,United States,80000000,98376292,Tom Cruise,Meryl Streep
Original Sin,Drama,"August 3, 2001 (United States)",6.1,Antonio Banderas,France,42000000,35402320,Chris Evans,Cate Blanchett
Monster's Ball,Drama,"March 1, 2002 (United States)",7.0,Billy Bob Thornton,United States,4000000,45011434,Cate Blanchett,Angelina Jolie
Spy Kids,Action,"March 30, 2001 (United States)",5.5,Alexa PenaVega,United States,35000000,147934180,Saoirse Ronan,Jake Gyllenhaal
Behind Enemy Lines,Action,"November 30, 2001 (United States)",6.4,Gene Hackman,United States,40000000,91753202,Michael Fassbender,George Clooney
Bridget Jones's Diary,Comedy,"April 13, 2001 (United States)",6.7,Renée Zellweger,United Kingdom,25000000,281995610,Morgan Freeman,Daniel Day-Lewis
I Am Sam,Drama,"January 25, 2002 (United States)",7.6,Sean Penn,United States,22000000,97818139,Rachel McAdams,Scarlett Johansson
The Last Castle,Action,"October 19, 2001 (United States)",7.0,Robert Redford,United States,72000000,27642707,Javier Bardem,Brad Pitt
Spy Game,Action,"November 21, 2001 (United States)",7.1,Robert Redford,United States,115000000,143049560,Sandra Bullock,Charlize Theron
Lara Croft: Tomb Raider,Action,"June 15, 2001 (United States)",5.8,Angelina Jolie,United States,115000000,274703340,Daniel Day-Lewis,Robert De Niro
American Pie 2,Comedy,"August 10, 2001 (United States)",6.4,Jason Biggs,United States,30000000,287553595,Johnny Depp,Brad Pitt
Frailty,Crime,"April 12, 2002 (United States)",7.2,Bill Paxton,United States,11000000,17423030,Matt Damon,Brad Pitt
Along Came a Spider,Drama,"April 6, 2001 (United States)",6.4,Morgan Freeman,United States,60000000,105178561,Saoirse Ronan,Octavia Spencer
Rush Hour 2,Action,"August 3, 2001 (United States)",6.6,Jackie Chan,Hong Kong,90000000,347325802,Joaquin Phoenix,Saoirse Ronan
Save the Last Dance,Drama,"January 12, 2001 (United States)",6.2,Julia Stiles,United States,13000000,131706809,Sandra Bullock,Rachel McAdams
Domestic Disturbance,Crime,"November 2, 2001 (United States)",5.6,John Travolta,United States,75000000,54249294,Jennifer Aniston,Hugh Jackman
Riding in Cars with Boys,Biography,"October 19, 2001 (United States)",6.5,Drew Barrymore,United States,48000000,35743308,Javier Bardem,Johnny Depp
The Animal,Comedy,"June 1, 2001 (United States)",4.8,Rob Schneider,United States,47000000,85191134,Colin Firth,Octavia Spencer
How High,Comedy,"December 21, 2001 (United States)",6.3,Method Man,United States,20000000,31283740,Leonardo DiCaprio,Idris Elba
Joy Ride,Action,"October 5, 2001 (United States)",6.6,Steve Zahn,United States,23000000,36642838,Colin Firth,Javier Bardem
3000 Miles to Graceland,Action,"February 23, 2001 (United States)",6.0,Kurt Russell,United States,62000000,18720175,Colin Firth,Javier Bardem
The Score,Action,"July 13, 2001 (United States)",6.8,Robert De Niro,Germany,68000000,114252154,Christian Bale,Octavia Spencer
Jason X,Action,"April 26, 2002 (United States)",4.4,Kane Hodder,Canada,11000000,17077882,Samuel L. Jackson,Colin Firth
Jay and Silent Bob Strike Back,Comedy,"August 24, 2001 (United States)",6.8,Jason Mewes,United States,22000000,33788161,Saoirse Ronan,Hugh Jackman
The Mexican,Adventure,"March 2, 2001 (United States)",6.1,Brad Pitt,United States,57000000,147845033,Emily Blunt,Christian Bale
From Hell,Horror,"October 19, 2001 (United States)",6.8,Johnny Depp,United States,35000000,74558115,Anne Hathaway,Cate Blanchett
Crocodile Dundee in Los Angeles,Action,"April 20, 2001 (United States)",4.8,Paul Hogan,Australia,21150000,39438674,Michael Fassbender,Charlize Theron
Heist,Action,"November 9, 2001 (United States)",6.5,Gene Hackman,Canada,39000000,28510652,Saoirse Ronan,Johnny Depp
Serendipity,Comedy,"October 5, 2001 (United States)",6.9,John Cusack,United States,28000000,77516304,Helen Mirren,Cate Blanchett
Brotherhood of the Wolf,Action,"January 25, 2002 (United States)",7.0,Samuel Le Bihan,France,29000000,70752904,Mark Ruffalo,Octavia Spencer
The Pledge,Crime,"January 19, 2001 (United States)",6.8,Jack Nicholson,United States,35000000,29419291,Tom Cruise,George Clooney
American Outlaws,Action,"August 17, 2001 (United States)",6.0,Colin Farrell,United States,35000000,13678913,Kate Winslet,Benedict Cumberbatch
Ghosts of Mars,Action,"August 24, 2001 (United States)",4.9,Natasha Henstridge,United States,28000000,14010832,Tilda Swinton,Morgan Freeman
The Man Who Wasn't There,Crime,"November 16, 2001 (United States)",7.5,Billy Bob Thornton,United States,20000000,18916623,Marion Cotillard,Jennifer Aniston
Rock Star,Drama,"September 7, 2001 (United States)",6.3,Mark Wahlberg,United States,57000000,19334145,Chris Evans,Anne Hathaway
Osmosis Jones,Animation,"August 10, 2001 (United States)",6.3,Laurence Fishburne,United States,70000000,14026418,Meryl Streep,Christian Bale
Saving Silverman,Comedy,"February 9, 2001 (United States)",5.9,Jason Biggs,United States,22000000,26086706,Leonardo DiCaprio,Robert De Niro
The Glass House,Crime,"September 14, 2001 (United States)",5.8,Diane Lane,United States,30000000,23619609,Emily Blunt,Idris Elba
The Wedding Planner,Comedy,"January 26, 2001 (United States)",5.3,Jennifer Lopez,Germany,35000000,94728529,Chris Evans,Mark Ruffalo
Heartbreakers,Comedy,"March 23, 2001 (United States)",6.2,Sigourney Weaver,United States,35000000,57756408,Javier Bardem,Amy Adams
Session 9,Horror,"September 14, 2001 (Italy)",6.4,David Caruso,United States,1500000,1612259,Jake Gyllenhaal,Kate Winslet
Out Cold,Comedy,"November 21, 2001 (United States)",6.3,Flex Alexander,United States,24000000,14782676,Jennifer Aniston,Daniel Day-Lewis
Hedwig and the Angry Inch,Comedy,"August 31, 2001 (United States)",7.7,John Cameron Mitchell,United States,6000000,3645107,Marion Cotillard,Tom Cruise
Baby Boy,Crime,"June 27, 2001 (United States)",6.4,Alexsandra Wright,United States,16000000,29381649,Jake Gyllenhaal,Emily Blunt
K-PAX,Drama,"October 26, 2001 (United States)",7.4,Kevin Spacey,United States,68000000,65001485,Julia Roberts,Tom Cruise
Freddy Got Fingered,Comedy,"April 20, 2001 (United States)",4.6,Tom Green,United States,14000000,14343028,Chris Evans,Viola Davis
Sweet November,Drama,"February 16, 2001 (United States)",6.7,Keanu Reeves,United States,40000000,65754228,Jennifer Lawrence,Tom Hanks
Kate & Leopold,Comedy,"December 25, 2001 (United States)",6.4,Meg Ryan,United States,48000000,76019048,Joaquin Phoenix,Nicole Kidman
Don't Say a Word,Drama,"September 28, 2001 (United States)",6.3,Michael Douglas,United States,50000000,100020092,Johnny Depp,Saoirse Ronan
Ali,Biography,"December 25, 2001 (United States)",6.8,Will Smith,United States,107000000,87812729,Cate Blanchett,Hugh Jackman
Life as a House,Drama,"November 9, 2001 (United States)",7.5,Hayden Christensen,United States,27000000,23903791,Matt Damon,Amy Adams
Ichi the Killer,Action,"December 22, 2001 (Japan)",7.0,Tadanobu Asano,Japan,1400000,80631,Natalie Portman,Octavia Spencer
Tomcats,Comedy,"March 30, 2001 (United States)",5.4,Shannon Elizabeth,United States,11000000,23430766,Reese Witherspoon,Will Smith
Bandits,Comedy,"October 12, 2001 (United States)",6.5,Bruce Willis,United States,75000000,67631903,Hugh Jackman,Joaquin Phoenix
Monkeybone,Animation,"February 23, 2001 (United States)",4.8,Brendan Fraser,United States,75000000,7622365,Michael Fassbender,Robert De Niro
In the Bedroom,Crime,"February 8, 2002 (United States)",7.4,Tom Wilkinson,United States,1700000,44763181,Cate Blanchett,Tom Cruise
Pootie Tang,Action,"June 29, 2001 (United States)",5.3,Chris Rock,United States,7000000,3313583,Brad Pitt,Sandra Bullock
Bubble Boy,Adventure,"August 24, 2001 (United States)",5.6,Jake Gyllenhaal,United States,13000000,5007898,Samuel L. Jackson,Julia Roberts
Josie and the Pussycats,Comedy,"April 11, 2001 (United States)",5.5,Rachael Leigh Cook,Canada,39000000,14866015,Chris Evans,Jennifer Aniston
The Devil's Backbone,Drama,"April 20, 2001 (Spain)",7.4,Marisa Paredes,Spain,4500000,6582065,Emily Blunt,Tom Hanks
Shaolin Soccer,Action,"July 5, 2001 (China)",7.3,Stephen Chow,Hong Kong,10000000,42776760,Emily Blunt,Ryan Gosling
Jimmy Neutron: Boy Genius,Animation,"December 21, 2001 (United States)",6.0,Debi Derryberry,United States,30000000,102992536,Tilda Swinton,Denzel Washington
Driven,Action,"April 27, 2001 (United States)",4.6,Sylvester Stallone,United States,94000000,54744738,Rachel McAdams,Javier Bardem
Get Over It,Comedy,"March 9, 2001 (United States)",5.7,Kirsten Dunst,United States,22000000,19900366,Tom Cruise,Meryl Streep
Exit Wounds,Action,"March 16, 2001 (United States)",5.6,Steven Seagal,United States,50000000,79958599,Samuel L. Jackson,Lupita Nyong'o
The Majestic,Drama,"December 21, 2001 (United States)",6.9,Jim Carrey,United States,72000000,37317673,Denzel Washington,Javier Bardem
Valentine,Horror,"February 2, 2001 (United States)",4.8,Denise Richards,Canada,29000000,36684136,Mark Ruffalo,Tom Cruise
Final Fantasy: The Spirits Within,Animation,"July 11, 2001 (United States)",6.4,Alec Baldwin,United States,137000000,85131830,Kate Winslet,Christian Bale
The One,Action,"November 2, 2001 (United States)",5.9,Jet Li,United States,49000000,74005691,Javier Bardem,Idris Elba
Sugar & Spice,Comedy,"January 26, 2001 (United States)",5.7,Marla Sokoloff,United States,27000000,16923761,Meryl Streep,Ryan Gosling
Cats & Dogs,Action,"July 4, 2001 (United States)",5.1,Alec Baldwin,United States,60000000,200687492,Morgan Freeman,Chris Evans
Hearts in Atlantis,Drama,"September 28, 2001 (United States)",6.9,Anthony Hopkins,United States,31000000,30919415,Ryan Gosling,Will Smith
America's Sweethearts,Comedy,"July 20, 2001 (United States)",5.7,Julia Roberts,United States,46000000,138307673,Jennifer Lawrence,Colin Firth
Kiss of the Dragon,Action,"July 6, 2001 (United States)",6.6,Jet Li,France,25000000,64437847,Daniel Day-Lewis,Kate Winslet
Captain Corelli's Mandolin,Drama,"August 17, 2001 (United States)",5.9,Nicolas Cage,United Kingdom,57000000,62112895,Octavia Spencer,Natalie Portman
The Believer,Drama,"August 23, 2001 (Russia)",7.1,Ryan Gosling,United States,1500000,1309316,Nicole Kidman,Julia Roberts
Someone Like You,Comedy,"March 30, 2001 (United States)",6.1,Ashley Judd,United States,23000000,38689940,Tom Cruise,Jake Gyllenhaal
The Tailor of Panama,Comedy,"March 30, 2001 (United States)",6.2,Pierce Brosnan,United States,21000000,28008462,Colin Firth,Rachel McAdams
Formula 51,Action,"October 18, 2002 (United States)",6.3,Samuel L. Jackson,United Kingdom,27000000,12881605,Joaquin Phoenix,Charlize Theron
15 Minutes,Action,"March 9, 2001 (United States)",6.1,Robert De Niro,United States,60000000,56359980,Matt Damon,Anne Hathaway
Iris,Biography,"March 29, 2002 (United States)",7.0,Judi Dench,United Kingdom,5500000,16153953,George Clooney,Julia Roberts
Crazy/Beautiful,Drama,"June 29, 2001 (United States)",6.4,Kirsten Dunst,United States,13000000,19937988,Jake Gyllenhaal,Ryan Gosling
Angel Eyes,Drama,"May 18, 2001 (United States)",5.6,Jennifer Lopez,United States,53000000,29715606,Will Smith,Christian Bale
Kabhi Khushi Kabhie Gham...,Drama,"December 14, 2001 (United States)",7.4,Shah Rukh Khan,India,7500000,11334547,Lupita Nyong'o,Johnny Depp
Buffalo Soldiers,Comedy,"October 31, 2002 (Germany)",6.8,Joaquin Phoenix,United Kingdom,15000000,2300684,Colin Firth,Brad Pitt
The Musketeer,Action,"September 7, 2001 (United States)",4.8,Justin Chambers,Germany,40000000,32533802,Jake Gyllenhaal,Octavia Spencer
O,Drama,"August 31, 2001 (United States)",6.1,Mekhi Phifer,United States,5000000,19260537,Morgan Freeman,Leonardo DiCaprio
Birthday Girl,Comedy,"February 1, 2002 (United States)",6.1,Nicole Kidman,United Kingdom,13000000,16171098,Viola Davis,Christian Bale
Made,Comedy,"August 31, 2001 (United States)",6.4,Vince Vaughn,United States,5000000,5480653,Leonardo DiCaprio,Lupita Nyong'o
One Night at McCool's,Comedy,"April 27, 2001 (United States)",6.1,Liv Tyler,United States,18000000,13578186,Benedict Cumberbatch,Natalie Portman
Dr. Dolittle 2,Comedy,"June 22, 2001 (United States)",4.7,Eddie Murphy,United States,70000000,176104344,Idris Elba,Tilda Swinton
Max Keeble's Big Move,Comedy,"October 5, 2001 (United States)",5.4,Alex D. Linz,United States,25000000,18634654,Robert De Niro,Saoirse Ronan
Soul Survivors,Horror,"September 7, 2001 (United States)",3.9,Melissa Sagemiller,United States,17000000,4299141,Scarlett Johansson,Javier Bardem
Black Knight,Adventure,"November 21, 2001 (United States)",4.9,Martin Lawrence,United States,50000000,39976235,Cate Blanchett,Julia Roberts
The Shipping News,Drama,"January 18, 2002 (United States)",6.7,Kevin Spacey,Canada,38000000,24690441,Christian Bale,Robert De Niro
The Deep End,Crime,"August 31, 2001 (United States)",6.6,Tilda Swinton,United States,3000000,10031529,Octavia Spencer,Jennifer Lawrence
Kissing Jessica Stein,Comedy,"April 5, 2002 (United States)",6.5,Jennifer Westfeldt,United States,1000000,10013424,Samuel L. Jackson,Rachel McAdams
Antitrust,Action,"January 12, 2001 (United States)",6.1,Ryan Phillippe,United States,30000000,18195610,Denzel Washington,Colin Firth
Just Visiting,Adventure,"April 6, 2001 (United States)",5.8,Jean Reno,France,35000000,16176732,Meryl Streep,Jennifer Lawrence
L.I.E.,Crime,"November 29, 2002 (United Kingdom)",7.1,Brian Cox,United States,700000,1846059,Christian Bale,Sandra Bullock
The Wash,Comedy,"November 14, 2001 (United States)",4.8,Dr. Dre,United States,7000000,10229331,Chris Evans,Saoirse Ronan
Bones,Crime,"October 24, 2001 (United States)",4.3,Snoop Dogg,United States,16000000,8378853,Hugh Jackman,Nicole Kidman
Say It Isn't So,Comedy,"March 23, 2001 (United States)",5.0,Chris Klein,United States,25000000,12320393,Jake Gyllenhaal,Javier Bardem
Texas Rangers,Action,"November 30, 2001 (United States)",5.2,James Van Der Beek,United States,38000000,763740,Emily Blunt,Will Smith
What's the Worst That Could Happen?,Comedy,"June 1, 2001 (United States)",5.5,Martin Lawrence,United States,60000000,38464131,Leonardo DiCaprio,Jennifer Lawrence
Head Over Heels,Comedy,"February 2, 2001 (United States)",5.5,Monica Potter,United States,14000000,13127022,Hugh Jackman,Idris Elba
Glitter,Drama,"September 21, 2001 (United States)",2.3,Mariah Carey,United States,22000000,5271666,Amy Adams,Kate Winslet
Down to Earth,Comedy,"February 16, 2001 (United States)",5.4,Chris Rock,Germany,49000000,71186502,Benedict Cumberbatch,Johnny Depp
Tape,Drama,"July 12, 2002 (Denmark)",7.2,Ethan Hawke,United States,100000,515900,Amy Adams,Colin Firth
See Spot Run,Action,"March 2, 2001 (United States)",5.4,David Arquette,United States,35000000,43057552,Ryan Gosling,Javier Bardem
Two Can Play That Game,Comedy,"September 7, 2001 (United States)",6.2,Vivica A. Fox,United States,13000000,22391450,Marion Cotillard,Joaquin Phoenix
Impostor,Drama,"January 4, 2002 (United States)",6.2,Shane Brolly,United States,30000000,8694320,Christian Bale,Natalie Portman
Metropolis,Animation,"January 25, 2002 (United States)",7.2,Toshio Furukawa,Japan,15000000,4035192,Robert De Niro,Scarlett Johansson
The Affair of the Necklace,Drama,"December 7, 2001 (United States)",6.1,Hilary Swank,United States,30000000,1198113,Tilda Swinton,Kate Winslet
Lovely & Amazing,Comedy,"August 2, 2002 (United States)",6.8,Catherine Keener,United States,250000,4677852,Johnny Depp,Christian Bale
Corky Romano,Comedy,"October 12, 2001 (United States)",4.7,Chris Kattan,United States,11000000,25272752,Denzel Washington,Julia Roberts
Recess: School's Out,Animation,"February 16, 2001 (United States)",6.6,Andrew Lawrence,United States,23000000,44460850,Will Smith,Leonardo DiCaprio
The Other Side of Heaven,Adventure,"April 12, 2002 (United States)",6.4,Christopher Gorham,United States,7000000,4760014,Amy Adams,Javier Bardem
The Grey Zone,Drama,"November 30, 2001 (Spain)",7.0,David Arquette,United States,5000000,621592,Helen Mirren,Rachel McAdams
Novocaine,Comedy,"December 14, 2001 (United States)",5.8,Steve Martin,United States,8000000,2534372,Sandra Bullock,Idris Elba
Charlotte Gray,Drama,"January 11, 2002 (United States)",6.4,Cate Blanchett,United Kingdom,20000000,5323109,Benedict Cumberbatch,Mark Ruffalo
The Curse of the Jade Scorpion,Comedy,"August 24, 2001 (United States)",6.7,Greg Stebner,United States,33000000,18914307,Meryl Streep,Javier Bardem
Spider-Man,Action,"May 3, 2002 (United States)",7.3,Tobey Maguire,United States,139000000,825025036,Nicole Kidman,Ryan Gosling
The Sum of All Fears,Action,"May 31, 2002 (United States)",6.4,Ben Affleck,United States,68000000,193921372,Emily Blunt,Morgan Freeman
8 Mile,Drama,"November 8, 2002 (United States)",7.1,Eminem,United States,41000000,242875078,Emily Blunt,Emma Stone
The Pianist,Biography,"March 28, 2003 (United States)",8.5,Adrien Brody,United Kingdom,35000000,120072577,Jennifer Aniston,Lupita Nyong'o
Harry Potter and the Chamber of Secrets,Adventure,"November 15, 2002 (United States)",7.4,Daniel Radcliffe,United Kingdom,100000000,879602366,Robert De Niro,Christian Bale
The Lord of the Rings: The Two Towers,Action,"December 18, 2002 (United States)",8.7,Elijah Wood,New Zealand,94000000,947495095,Benedict Cumberbatch,Denzel Washington
Road to Perdition,Crime,"July 12, 2002 (United States)",7.7,Tom Hanks,United States,80000000,181001478,Cate Blanchett,Octavia Spencer
Resident Evil,Action,"March 15, 2002 (United States)",6.7,Milla Jovovich,United Kingdom,33000000,102984862,Daniel Day-Lewis,Natalie Portman
Catch Me If You Can,Biography,"December 25, 2002 (United States)",8.1,Leonardo DiCaprio,United States,52000000,352114312,Hugh Jackman,Denzel Washington
28 Days Later...,Drama,"June 27, 2003 (United States)",7.6,Cillian Murphy,United Kingdom,8000000,85720385,Matt Damon,Denzel Washington
The Ring,Horror,"October 18, 2002 (United States)",7.1,Naomi Watts,United States,48000000,249348933,Ryan Gosling,Colin Firth
Signs,Drama,"August 2, 2002 (United States)",6.7,Mel Gibson,United States,72000000,408247917,Benedict Cumberbatch,Amy Adams
The Bourne Identity,Action,"June 14, 2002 (United States)",7.9,Franka Potente,United States,60000000,214034224,Brad Pitt,George Clooney
Star Wars: Episode II - Attack of the Clones,Action,"May 16, 2002 (United States)",6.5,Hayden Christensen,United States,115000000,653779970,Matt Damon,Julia Roberts
Secretary,Comedy,"October 11, 2002 (United States)",7.0,James Spader,United States,4000000,9304609,Julia Roberts,Marion Cotillard
Scooby-Doo,Adventure,"June 14, 2002 (United States)",5.1,Matthew Lillard,United States,84000000,275650703,Reese Witherspoon,Robert De Niro
Reign of Fire,Action,"July 12, 2002 (United States)",6.2,Matthew McConaughey,United States,60000000,82150183,Octavia Spencer,Jennifer Aniston
Minority Report,Action,"June 21, 2002 (United States)",7.6,Tom Cruise,United States,102000000,358372926,Robert De Niro,Morgan Freeman
Austin Powers in Goldmember,Action,"July 26, 2002 (United States)",6.2,Mike Myers,United States,63000000,296938801,Chris Evans,Kate Winslet
Red Dragon,Crime,"October 4, 2002 (United States)",7.2,Anthony Hopkins,Germany,78000000,209196298,Cate Blanchett,Cate Blanchett
Gangs of New York,Crime,"December 20, 2002 (United States)",7.5,Leonardo DiCaprio,United States,100000000,193772504,Charlize Theron,Helen Mirren
The Importance of Being Earnest,Comedy,"June 21, 2002 (United States)",6.8,Rupert Everett,United Kingdom,15000000,18009625,Leonardo DiCaprio,Saoirse Ronan
Sweet Home Alabama,Comedy,"September 27, 2002 (United States)",6.2,Reese Witherspoon,United States,30000000,180622424,George Clooney,Anne Hathaway
The Count of Monte Cristo,Action,"January 25, 2002 (United States)",7.7,Jim Caviezel,United Kingdom,35000000,75395048,Octavia Spencer,Colin Firth
Adaptation.,Comedy,"February 14, 2003 (United States)",7.7,Nicolas Cage,United States,19000000,32801173,Cate Blanchett,Javier Bardem
Unfaithful,Drama,"May 10, 2002 (United States)",6.7,Richard Gere,France,50000000,119137784,Idris Elba,Jake Gyllenhaal
Ice Age,Animation,"March 15, 2002 (United States)",7.5,Denis Leary,United States,59000000,383257136,Marion Cotillard,Michael Fassbender
Panic Room,Crime,"March 29, 2002 (United States)",6.8,Jodie Foster,United States,48000000,197079546,Morgan Freeman,Charlize Theron
Insomnia,Drama,"May 24, 2002 (United States)",7.2,Al Pacino,United States,46000000,113758770,Denzel Washington,Helen Mirren
Men in Black II,Action,"July 3, 2002 (United States)",6.2,Tommy Lee Jones,United States,140000000,445135288,Mark Ruffalo,Colin Firth
Lilo & Stitch,Animation,"June 21, 2002 (United States)",7.3,Daveigh Chase,United States,80000000,273144151,Tom Hanks,Michael Fassbender
Chicago,Comedy,"January 24, 2003 (United States)",7.2,Renée Zellweger,United States,45000000,306776732,Ryan Gosling,Nicole Kidman
A Walk to Remember,Drama,"January 25, 2002 (United States)",7.3,Mandy Moore,United States,11800000,47494916,Mark Ruffalo,Morgan Freeman
Treasure Planet,Animation,"November 27, 2002 (United States)",7.2,Joseph Gordon-Levitt,United States,140000000,110041363,Jennifer Aniston,Viola Davis
My Big Fat Greek Wedding,Comedy,"August 2, 2002 (United States)",6.6,Nia Vardalos,Canada,5000000,368744044,Sandra Bullock,Brad Pitt
We Were Soldiers,Action,"March 1, 2002 (United States)",7.2,Mel Gibson,United States,75000000,115374915,Leonardo DiCaprio,Reese Witherspoon
The Sweetest Thing,Comedy,"April 12, 2002 (United States)",5.2,Cameron Diaz,United States,43000000,69319426,Scarlett Johansson,Lupita Nyong'o
xXx,Action,"August 9, 2002 (United States)",5.9,Vin Diesel,United States,70000000,277448382,Helen Mirren,Jennifer Lawrence
Equilibrium,Action,"December 6, 2002 (United States)",7.4,Christian Bale,United States,20000000,5368217,Scarlett Johansson,Sandra Bullock
The Scorpion King,Action,"April 19, 2002 (United States)",5.5,Dwayne Johnson,United States,60000000,180630907,Angelina Jolie,Daniel Day-Lewis
Punch-Drunk Love,Comedy,"November 1, 2002 (United States)",7.3,Adam Sandler,United States,25000000,24675714,Marion Cotillard,Amy Adams
Die Another Day,Action,"November 22, 2002 (United States)",6.1,Pierce Brosnan,United Kingdom,142000000,431971116,Julia Roberts,Joaquin Phoenix
The Time Machine,Action,"March 8, 2002 (United States)",6.0,Guy Pearce,United States,80000000,123729176,Lupita Nyong'o,Cate Blanchett
The Transporter,Action,"October 11, 2002 (United States)",6.8,Jason Statham,France,21000000,43928932,Charlize Theron,Sandra Bullock
Blue Crush,Drama,"August 16, 2002 (United States)",5.7,Kate Bosworth,United States,25000000,51843679,Tilda Swinton,Emily Blunt
Ghost Ship,Horror,"October 25, 2002 (United States)",5.5,Julianna Margulies,United States,20000000,68349884,Saoirse Ronan,Emma Stone
Van Wilder,Comedy,"April 5, 2002 (United States)",6.4,Ryan Reynolds,Germany,5000000,38275483,Denzel Washington,Angelina Jolie
Maid in Manhattan,Comedy,"December 13, 2002 (United States)",5.3,Jennifer Lopez,United States,55000000,154906693,Hugh Jackman,Johnny Depp
Spirit: Stallion of the Cimarron,Animation,"May 24, 2002 (United States)",7.2,Matt Damon,United States,80000000,122563539,Helen Mirren,Hugh Jackman
Blade II,Action,"March 22, 2002 (United States)",6.7,Wesley Snipes,Germany,54000000,155010032,Brad Pitt,Lupita Nyong'o
Frida,Biography,"November 22, 2002 (United States)",7.4,Salma Hayek,Mexico,12000000,56298474,Hugh Jackman,Leonardo DiCaprio
Phone Booth,Crime,"April 4, 2003 (United States)",7.0,Colin Farrell,United States,13000000,97837138,Mark Ruffalo,Jennifer Lawrence
About a Boy,Comedy,"May 17, 2002 (United States)",7.1,Hugh Grant,United Kingdom,30000000,130549455,Saoirse Ronan,Octavia Spencer
